username, created_at, lng, lat, text
BrianSimsPA, Wed Jan 20 18:59:54 +0000 2021, -77.014398, 38.898603, @saularm653 @maybrick350 @FBI @FBIWFO @USArmy @RangerAssoc https://t.co/gxoCzcPq2J 
thejerichorose, Wed Jan 20 18:59:54 +0000 2021, -122.435979, 37.770657, Tbh I wish they had Jenifer Hudson sing the National Anthem or just someone with a more soulful solid vocal. Gaga d… https://t.co/cpDGGQsvxC 
JavierVasquez85, Wed Jan 20 18:59:54 +0000 2021, -97.754724, 30.323346, It will be interesting to watch. 
dfeltner11, Wed Jan 20 18:59:54 +0000 2021, -84.361532, 39.506104, @ladygaga Thank you! Beautiful ❤❤❤ 
eudave_sandra, Wed Jan 20 18:59:54 +0000 2021, -114.099388, 36.808331, Yes AMEN 😍❤ 
VviewSsonicMair, Wed Jan 20 18:59:54 +0000 2021, -120.583402, 44.145437, The outlook doesn't look good for the US.Without a leader who has the ability to unify across divides.. there isn't… https://t.co/1SAOW5EbrI 
CRAN1976NYG, Wed Jan 20 18:59:54 +0000 2021, -96.868033, 33.042549, Well Said Dan Rather 
Barb_Joy, Wed Jan 20 18:59:54 +0000 2021, -79.272570, 43.629311, Feeling a bit lighter... *exhales deeply*🇺🇸🇨🇦💪🏻🤗 ☮️ 
_StefBlaze_, Wed Jan 20 18:59:54 +0000 2021, -92.430839, 35.073112, Why they all got the same suit on but different colors 🥴😅... knew something was up 🤣😂🤣 
illchokeu, Wed Jan 20 18:59:54 +0000 2021, -96.426806, 32.920541, Yet another challenge 🙄 
RebeccaZupanick, Wed Jan 20 18:59:54 +0000 2021, -81.181195, 37.789646, I’m with you @Queen_UK 
SkylarJameson1, Wed Jan 20 18:59:55 +0000 2021, -115.038337, 36.006256, @geoff777 @VitalVegas No. Fact is regulations prevent credit cards to be used at slot machine. 
Crewdogf15, Wed Jan 20 18:59:54 +0000 2021, -83.804475, 27.698682, @Jimgun99 @askjillian https://t.co/FW0WzRrTfw 
shanalynn4, Wed Jan 20 18:59:55 +0000 2021, -85.193928, 34.266745, @La_Raina Omg I know right!!!!!! I wore my pearls today! Kamala, Jill and Michelle’s outfits 🔥🔥🔥🔥🔥🔥🔥 
RobertZawodski, Wed Jan 20 18:59:55 +0000 2021, -117.104989, 32.810012, @robertas_world ... to a milky way\'black hole'¡! #HoldTheLinePatriotsWorldwide 
BrianDunseth, Wed Jan 20 18:59:55 +0000 2021, -111.790751, 40.683609, #RSL 
Dialoguealways, Wed Jan 20 18:59:55 +0000 2021, -81.339474, 41.247592, @hillarylost2016 @RealTina40 I mean you may be right,But ask yourself this,If I literally won't even block/mute… https://t.co/rB0Ko63yrs 
Confidential_B, Wed Jan 20 18:59:55 +0000 2021, -80.045939, 32.914424, @ItsDaniela_Bby @WAPLIQUOR @ReyvinNychole 😂😂😂 true but you know I’ll be tripping tho 
NathanielPNW, Wed Jan 20 18:59:55 +0000 2021, -123.123581, 49.257639, @_ekane Such an amazing film ❤️ https://t.co/RxMKIquoax 
DJAX1985, Wed Jan 20 18:59:55 +0000 2021, -73.968542, 40.780709, 5回くらい携帯落としてもカバー無しでも割れなかったのに指で割れるて😅サボじゃないねんから、、、 
BallReFFbAbY323, Wed Jan 20 18:59:55 +0000 2021, -117.721761, 33.972516, By this year I wanna get my 2021 @Honda Civic hatchback 💯💁🏻‍♂️ 
TheTruthJackson, Wed Jan 20 18:59:55 +0000 2021, -95.508925, 29.574284, 😍#Inauguration #InaugurationDay 
757paulnexus, Wed Jan 20 18:59:55 +0000 2021, -76.069946, 36.802541, A baby dog is a manipulator 
babyyyjazz, Wed Jan 20 18:59:55 +0000 2021, -105.950194, 32.960341, “If he was a winner girl u wouldn’t have to worry bouta damn thing” -Sonder 
SSHobbs, Wed Jan 20 18:59:56 +0000 2021, -75.386460, 39.145024, @NewYorkStateAG @JoeBiden @KamalaHarris And now? 
gorokhovskaia, Wed Jan 20 18:59:56 +0000 2021, -73.831187, 40.670879, @ksvarnon The world also discovered Amanda Gorman and we now all agree that she should probably write all of Biden’… https://t.co/VSgnhMLnNA 
DJBaldeez, Wed Jan 20 18:59:56 +0000 2021, -88.271600, 42.019420, Just posted a photo @ Crossfit Arioch https://t.co/pxws86paZ8 
KateChief, Wed Jan 20 18:59:56 +0000 2021, -117.086778, 32.669810, @DanCrenshawTX Hey shipmate, go away.  You can’t even shut up for one day 
Thehammah, Wed Jan 20 18:59:56 +0000 2021, -118.397222, 33.864836, @Freya1966 @netflix @LuciferNetflix Whooey. maybe we can get all the translators to comment to get an accurate stat… https://t.co/ry0FyTImwm 
liveandlauren_, Wed Jan 20 18:59:56 +0000 2021, -118.411907, 34.020789, Trump is NOT my president!! HALLELUJAH!! 
DLano973, Wed Jan 20 18:59:56 +0000 2021, -74.217600, 40.813900, I wonder were these mask made in the USA since they have the flag stamped on them? @ Montclair, New Jersey https://t.co/MFY2D3Ggso 
Kevin_M_Thomas, Wed Jan 20 18:59:56 +0000 2021, -77.014398, 38.898603, @JoyAnnReid My wife and I were just saying the same thing! The nerve! 
mhweir, Wed Jan 20 18:59:56 +0000 2021, -117.104989, 32.810012, Send him the bill 
Shimoji___, Wed Jan 20 18:59:56 +0000 2021, -90.011008, 29.982601, @SweetChubbz I’m bout it 
jennymac8, Wed Jan 20 18:59:56 +0000 2021, -87.732013, 41.833585, Love to see it!! 
garystager, Wed Jan 20 18:59:56 +0000 2021, -118.351218, 33.833714, @jemelehill Yup. 3.5. Epicenter = Wilmington. 
JustGinaMMA, Wed Jan 20 18:59:56 +0000 2021, -73.948775, 40.655138, @shaysmma He tried yo. 😂 
jukistim, Wed Jan 20 18:59:56 +0000 2021, -74.855333, 40.157637, 👏🏻👏🏻👏🏻 
